Epoch,Train 1stPred. Loss,Train 2ndPred. Loss,Val 1stPred. Loss,Val 2ndPred. Loss,Val 1stPred. MRE,Val 2ndPred. MRE
1,0.27453217,,0.059153811,0.059166991,125.0775651,125.0673158
2,0.039829638,,0.036425843,0.036426424,121.2100617,121.2093658
3,0.033700743,,0.034759846,0.034762368,108.0359355,108.0355927
4,0.030124253,,0.034613007,0.034614405,104.9255477,104.918718
5,0.02701699,,0.030547163,0.030552322,89.27149844,89.25581205
6,0.024600355,,0.031801858,0.031803694,84.94807255,84.93227744
7,0.022449915,,0.030776513,0.030774007,71.74332821,71.44896579
8,0.02097872,,0.029194912,0.029213408,62.28288001,62.16450655
9,0.019886951,,0.032232502,0.032237534,65.67586094,65.54829711
10,0.019014896,,0.032473499,0.032450844,62.99403656,62.60193932
11,0.018025632,,0.030056392,0.029863558,53.0726335,52.36346364
12,0.016899453,,0.029942711,0.029829775,43.46523675,42.82643828
13,0.016402999,,0.03002315,0.029915116,42.47986111,42.32698873
14,0.016070306,,0.032346444,0.03225467,47.73603386,47.53569433
15,0.015635886,,0.029123613,0.028930077,37.35059303,36.93700272
16,0.015702925,,0.029424033,0.0288949,38.08339483,36.88652411
17,0.015212028,,0.036602206,0.036611532,47.79672807,47.74153489
18,0.01520151,,0.032293989,0.032136407,37.55336574,37.08575496
19,0.014834761,,0.039472614,0.0392952,54.80146456,54.8127405
20,0.01479809,,0.03788919,0.037671714,53.84087658,53.93733722
21,0.014773312,0.0141443,0.03630412,0.03605118,38.20656955,38.00481692
22,0.014500526,0.014744115,0.036805372,0.037026923,51.71038187,51.92158371
23,0.01361825,0.013695425,0.04203213,0.042066741,57.76263088,57.852256
24,0.013620131,0.013201907,0.040614275,0.040597843,53.3172465,53.41427022
25,0.014114314,0.013337224,0.036609445,0.036510525,54.0152365,53.73142278
26,0.013584709,0.013361212,0.043817812,0.043817281,57.09859961,57.15258586
27,0.012976866,0.012902762,0.040842709,0.041131378,50.76800078,50.67511487
28,0.013336036,0.013829347,0.042903277,0.04276733,54.4135114,54.39837193
29,0.014895567,0.014541206,0.042183047,0.042568215,61.11742902,61.17869467
30,0.013426553,0.012858358,0.030188118,0.029974092,29.35711513,28.89332724
31,0.013271593,0.012848013,0.041071761,0.041156115,46.99694744,46.99757069
32,0.012477538,0.013158125,0.040925678,0.040741488,56.44272566,56.36742032
33,0.012026174,0.012304985,0.040479123,0.040566911,42.6016207,42.68561596
34,0.012034344,0.012184666,0.043894032,0.044308766,58.24944001,58.22222751
35,0.011821686,0.011561072,0.033299056,0.03290248,29.62615462,29.20622395
