Epoch,Train 1stPred. Loss,Train 2ndPred. Loss,Val 1stPred. Loss,Val 2ndPred. Loss,Val 1stPred. MRE,Val 2ndPred. MRE,,,Compare,Train 1stPred. Loss,Train 2ndPred. Loss,Val 1stPred. Loss,Val 2ndPred. Loss,Method1 ValMRE,Val 2ndPred. MRE,,,,Method 1 diff.,Accu. 1,Method 2 diff.,Accu. 2
1,0.27561863,,0.049418451,0.04942127,128.210083,128.2138367,,,,0.27453217,none,0.059153811,0.059166991,125.0775651,125.0673158,,,,-0.003753662,-0.003753662,0.010249257,0.010249257
2,0.039746591,,0.036597788,0.036597845,121.1855545,121.1846161,,,,0.039829638,none,0.036425843,0.036426424,121.2100617,121.2093658,,,,0.000938416,-0.002815247,0.000695825,0.010945082
3,0.033638367,,0.03556778,0.035568229,113.0652695,113.0665894,,,,0.033700743,none,0.034759846,0.034762368,108.0359355,108.0355927,,,,-0.001319885,-0.004135132,0.000342846,0.011287928
4,0.030395602,,0.034965268,0.034965166,106.7485428,106.7479172,,,,0.030124253,none,0.034613007,0.034614405,104.9255477,104.918718,,,,0.00062561,-0.003509521,0.006829739,0.018117666
5,0.027323663,,0.031490751,0.031490621,90.65861511,90.65769958,,,,0.02701699,none,0.030547163,0.030552322,89.27149844,89.25581205,,,,0.000915527,-0.002593994,0.015686393,0.033804059
6,0.024741873,,0.032369568,0.032369304,83.94947815,83.95010376,,,,0.024600355,none,0.031801858,0.031803694,84.94807255,84.93227744,,,,-0.00062561,-0.003219604,0.015795112,0.049599171
7,0.022693301,,0.030432199,0.030433466,75.40933228,75.41151428,,,,0.022449915,none,0.030776513,0.030774007,71.74332821,71.44896579,,,,-0.002182007,-0.005401611,0.294362426,0.343961596
8,0.021312133,,0.029044532,0.029044189,64.70860291,64.70713806,,,,0.02097872,none,0.029194912,0.029213408,62.28288001,62.16450655,,,,0.001464844,-0.003936768,0.118373454,0.46233505
9,0.020121238,,0.03353516,0.033533642,66.19891357,66.19850159,,,,0.019886951,none,0.032232502,0.032237534,65.67586094,65.54829711,,,,0.000411987,-0.00352478,0.127563834,0.589898884
10,0.019262888,,0.032442472,0.032445071,62.07867813,62.08797836,,,,0.019014896,none,0.032473499,0.032450844,62.99403656,62.60193932,,,,-0.009300232,-0.012825012,0.392097235,0.981996119
11,0.018556522,,0.029248243,0.029249597,52.55178833,52.54711533,,,,0.018025632,none,0.030056392,0.029863558,53.0726335,52.36346364,,,,0.004673004,-0.008152008,0.709169865,1.691165984
12,0.017481715,,0.027213953,0.027212688,39.6673584,39.65807343,,,,0.016899453,none,0.029942711,0.029829775,43.46523675,42.82643828,,,,0.009284973,0.001132965,0.638798475,2.329964459
13,0.016645029,,0.03174094,0.031740635,46.44812775,46.45102692,,,,0.016402999,none,0.03002315,0.029915116,42.47986111,42.32698873,,,,-0.00289917,-0.001766205,0.152872384,2.482836843
14,0.016052561,,0.034614264,0.034614389,53.92192078,53.91786194,,,,0.016070306,none,0.032346444,0.03225467,47.73603386,47.53569433,,,,0.004058838,0.002292633,0.200339526,2.683176368
15,0.016295521,,0.028425728,0.028426957,37.55842972,37.55553055,,,,0.015635886,none,0.029123613,0.028930077,37.35059303,36.93700272,,,,0.00289917,0.005191803,0.413590312,3.09676668
16,0.015444568,,0.029570042,0.02957102,34.53957367,34.53766251,,,,0.015702925,none,0.029424033,0.0288949,38.08339483,36.88652411,,,,0.001911163,0.007102966,1.196870714,4.293637395
17,0.015526386,,0.037884421,0.037889584,47.64599991,47.6478653,,,,0.015212028,none,0.036602206,0.036611532,47.79672807,47.74153489,,,,-0.001865387,0.005237579,0.055193186,4.348830581
18,0.017355639,,0.032450508,0.032450069,35.21891022,35.21644211,,,,0.01520151,none,0.032293989,0.032136407,37.55336574,37.08575496,,,,0.002468109,0.007705688,0.467610776,4.816441357
19,0.015814001,,0.038795386,0.038795271,54.44687653,54.44654083,,,,0.014834761,none,0.039472614,0.0392952,54.80146456,54.8127405,,,,0.000335693,0.008041382,-0.011275947,4.80516541
20,0.015122726,,0.037520013,0.03752275,53.30900574,53.30751038,,,,0.01479809,none,0.03788919,0.037671714,53.84087658,53.93733722,,,,0.001495361,0.009536743,-0.09646064,4.70870477
21,0.0147125,,0.029772302,0.029772012,29.99058342,29.98945045,,,,0.014773312,0.0141443,0.03630412,0.03605118,38.20656955,38.00481692,,,,0.001132965,0.010669708,0.201752633,4.910457402
22,0.014475436,,0.035377776,0.035384475,50.2833786,50.28205872,,,,0.014500526,0.014744115,0.036805372,0.037026923,51.71038187,51.92158371,,,,0.001319885,0.011989594,-0.211201847,4.699255556
23,0.014174257,,0.038735339,0.038738336,47.50332642,47.50025558,,,,0.01361825,0.013695425,0.04203213,0.042066741,57.76263088,57.852256,,,,0.003070831,0.015060425,-0.08962512,4.609630436
24,0.01387638,,0.038252308,0.038248811,54.69297791,54.68697357,,,,0.013620131,0.013201907,0.040614275,0.040597843,53.3172465,53.41427022,,,,0.006004333,0.021064758,-0.097023726,4.51260671
25,0.013856069,,0.037498706,0.037483027,57.6067009,57.57596207,,,,0.014114314,0.013337224,0.036609445,0.036510525,54.0152365,53.73142278,,,,0.030738831,0.051803589,0.283813715,4.796420425
26,0.013661459,0.013620165,0.041543703,0.041569175,55.76597595,55.7636261,,,,0.013584709,0.013361212,0.043817812,0.043817281,57.09859961,57.15258586,,,,0.002349854,0.054153442,-0.053986251,4.742434174
27,0.013095974,0.013499804,0.038609781,0.038768861,50.05568695,50.10507584,,,,0.012976866,0.012902762,0.040842709,0.041131378,50.76800078,50.67511487,,,,-0.049388885,0.004764557,0.092885911,4.835320085
28,0.013516951,0.013240038,0.032055813,0.032172832,30.05968285,30.09302711,,,,0.013336036,0.013829347,0.042903277,0.04276733,54.4135114,54.39837193,,,,-0.033344269,-0.028579712,0.015139461,4.850459546
29,0.01268082,0.012929034,0.038020798,0.038053758,54.94326019,54.9257431,,,,0.014895567,0.014541206,0.042183047,0.042568215,61.11742902,61.17869467,,,,0.01751709,-0.011062622,-0.061265647,4.789193898
30,0.012670558,0.013083155,0.041548314,0.041612564,58.87782669,58.88459015,,,,0.013426553,0.012858358,0.030188118,0.029974092,29.35711513,28.89332724,,,,-0.006763458,-0.01782608,0.463787898,5.252981797
31,0.012401673,0.011928168,0.036899577,0.03689076,34.47727203,34.46229553,,,,0.013271593,0.012848013,0.041071761,0.041156115,46.99694744,46.99757069,,,,0.014976501,-0.002849579,-0.000623256,5.252358541
32,0.012417208,0.012532183,0.032220779,0.032387991,29.07437134,29.1360321,,,,0.012477538,0.013158125,0.040925678,0.040741488,56.44272566,56.36742032,,,,-0.061660767,-0.064510345,0.075305343,5.327663884
33,0.012367794,0.012151728,0.036363218,0.036435379,37.47869492,37.45732498,,,,0.012026174,0.012304985,0.040479123,0.040566911,42.6016207,42.68561596,,,,0.021369934,-0.043140411,-0.083995253,5.243668631
34,0.012038936,0.012212778,0.040823135,0.040878364,42.87216568,42.81394958,,,,0.012034344,0.012184666,0.043894032,0.044308766,58.24944001,58.22222751,,,,0.058216095,0.015075684,0.027212501,5.270881131
35,0.012151443,0.012335098,0.039723682,0.039851994,38.37155914,38.52596283,,,,0.011821686,0.011561072,0.033299056,0.03290248,29.62615462,29.20622395,,,,-0.154403687,-0.139328003,0.419930667,5.690811798
36,0.012630219,0.012437996,0.033503442,0.033611292,30.02174187,30.02840424,,,,0.012196518,0.012132503,0.041002838,0.04083965,40.65206474,39.93537357,,,,-0.006662369,-0.145990372,0.716691166,6.407502964
37,0.01175276,0.012122746,0.041752179,0.042559559,47.05826569,47.3168602,,,,0.012228055,0.011746836,0.04672835,0.046510007,59.72465813,59.70683014,,,,-0.258594513,-0.404584885,0.017827988,6.425330952
38,0.012281751,0.012421092,0.039709821,0.039959369,53.5689888,53.25318527,,,,0.012102418,0.012392483,0.04007313,0.039627445,34.75150359,34.34155336,,,,0.315803528,-0.088781357,0.409950227,6.835281178
