Epoch,Train 1stPred. Loss,Train 2ndPred. Loss,Val 1stPred. Loss,Val 2ndPred. Loss,Val 1stPred. MRE,Val 2ndPred. MRE,,,Compare,Train 1stPred. Loss,Train 2ndPred. Loss,Val 1stPred. Loss,Val 2ndPred. Loss,Method1 ValMRE,Val 2ndPred. MRE,,,,without pre-hint diff.,,with pre-hint diff.
1,0.27561863,,0.049418451,0.04942127,128.210083,128.2138367,,,,0.26870201,None,0.045228843,0.045229506,114.1092253,114.0650302,,,,-0.002927773,,0.038730485
2,0.039746591,,0.036597788,0.036597845,121.1855545,121.1846161,,,,0.039015347,None,0.036137696,0.036137579,102.582954,102.593484,,,,0.00077435,,-0.010264858
3,0.033638367,,0.03556778,0.035568229,113.0652695,113.0665894,,,,0.033355024,None,0.032018064,0.032017395,94.25233519,94.25252891,,,,-0.001167379,,-0.000205528
4,0.030395602,,0.034965268,0.034965166,106.7485428,106.7479172,,,,0.029968721,None,0.030250013,0.030248784,92.09807146,92.09524727,,,,0.00058605,,0.0030665
5,0.027323663,,0.031490751,0.031490621,90.65861511,90.65769958,,,,0.026941504,None,0.026576002,0.0265782,52.55163968,52.56731796,,,,0.001009865,,-0.029834058
6,0.024741873,,0.032369568,0.032369304,83.94947815,83.95010376,,,,0.024561028,None,0.024047659,0.024045307,37.97497305,37.9776313,,,,-0.000745222,,-0.007
7,0.022693301,,0.030432199,0.030433466,75.40933228,75.41151428,,,,0.022217772,None,0.021309899,0.02131928,29.78357092,29.84498727,,,,-0.002893541,,-0.206208846
8,0.021312133,,0.029044532,0.029044189,64.70860291,64.70713806,,,,0.02094666,None,0.02146418,0.021501006,28.81724139,28.89138637,,,,0.002263764,,-0.257293848
9,0.020121238,,0.03353516,0.033533642,66.19891357,66.19850159,,,,0.020037787,None,0.018926314,0.018886925,20.66575927,20.45368588,,,,0.000622336,,1.026206601
10,0.019262888,,0.032442472,0.032445071,62.07867813,62.08797836,,,,0.018965784,None,0.020793495,0.020880214,30.22924855,30.24331272,,,,-0.01498136,,-0.046525017
11,0.018556522,,0.029248243,0.029249597,52.55178833,52.54711533,,,,0.018242653,None,0.017227496,0.017177943,18.08007751,18.03390897,,,,0.008892181,,0.255355893
12,0.017481715,,0.027213953,0.027212688,39.6673584,39.65807343,,,,0.017268057,None,0.018240961,0.018323851,23.37290466,23.08817435,,,,0.023407079,,1.218206774
13,0.016645029,,0.03174094,0.031740635,46.44812775,46.45102692,,,,0.016675187,None,0.016505041,0.01643958,14.67349404,14.59364796,,,,-0.006241737,,0.544151764
14,0.016052561,,0.034614264,0.034614389,53.92192078,53.91786194,,,,0.016345188,None,0.015950224,0.015925981,12.11575095,12.06733785,,,,0.007527254,,0.399588152
15,0.016295521,,0.028425728,0.028426957,37.55842972,37.55553055,,,,0.017363902,None,0.017489611,0.017306817,18.07483613,17.44351251,,,,0.007719093,,3.492831781
16,0.015444568,,0.029570042,0.02957102,34.53957367,34.53766251,,,,0.01574969,0.015623856,0.015638225,0.015636358,12.15803271,12.18796944,,,,0.005533247,,-0.246230057
17,0.015526386,,0.037884421,0.037889584,47.64599991,47.6478653,,,,0.015237705,0.015455666,0.017379094,0.016990923,24.11591807,21.420146,,,,-0.003915103,,11.17839287
18,0.017355639,,0.032450508,0.032450069,35.21891022,35.21644211,,,,0.01665978,0.017061999,0.016822037,0.01668978,15.38140769,14.79837462,,,,0.007007911,,3.790505323
19,0.015814001,,0.038795386,0.038795271,54.44687653,54.44654083,,,,0.015917502,0.015938666,0.01677356,0.016691676,17.32061082,17.00700861,,,,0.000616564,,1.810572458
20,0.015122726,,0.037520013,0.03752275,53.30900574,53.30751038,,,,0.014877626,0.014602669,0.01534856,0.015200159,12.80907927,12.36810479,,,,0.00280508,,3.44267113
21,0.0147125,,0.029772302,0.029772012,29.99058342,29.98945045,,,,0.015104646,0.014554358,0.017371097,0.017195627,19.56528737,18.78011457,,,,0.003777752,,4.013091094
22,0.014475436,,0.035377776,0.035384475,50.2833786,50.28205872,,,,0.01522459,0.014304249,0.016801175,0.016796498,18.9845966,18.30123239,,,,0.002624883,,3.599571923
23,0.014174257,,0.038735339,0.038738336,47.50332642,47.50025558,,,,0.01389811,0.013581856,0.015758669,0.015449712,14.72111014,13.48237367,,,,0.006464474,,8.414694666
24,0.01387638,,0.038252308,0.038248811,54.69297791,54.68697357,,,,0.013734419,0.013292078,0.015268328,0.015038768,12.60453394,11.74072875,,,,0.010978265,,6.853130737
25,0.013856069,,0.037498706,0.037483027,57.6067009,57.57596207,,,,0.013880432,0.013745418,0.016634978,0.016380604,16.27772141,15.37340546,,,,0.053359817,,5.555543814
26,0.013661459,0.013620165,0.041543703,0.041569175,55.76597595,55.7636261,,,,0.014144597,0.013788574,0.015407723,0.014850022,13.98256845,12.56425202,,,,0.00421377,,10.14346141
27,0.013095974,0.013499804,0.038609781,0.038768861,50.05568695,50.10507584,,,,0.013306253,0.013856435,0.020414045,0.021028409,29.82344558,30.33038417,,,,-0.09866789,,-1.699798872
28,0.013516951,0.013240038,0.032055813,0.032172832,30.05968285,30.09302711,,,,0.01409343,0.014258934,0.014131206,0.013889424,10.27377869,9.702020526,,,,-0.110926852,,5.565217819
29,0.01268082,0.012929034,0.038020798,0.038053758,54.94326019,54.9257431,,,,0.013032074,0.013150165,0.015486038,0.014866312,12.58679194,11.26207387,,,,0.031882145,,10.52466804
30,0.012670558,0.013083155,0.041548314,0.041612564,58.87782669,58.88459015,,,,0.01307081,0.012613093,0.015554456,0.015456978,14.01898402,13.56715588,,,,-0.011487279,,3.222973558
31,0.012401673,0.011928168,0.036899577,0.03689076,34.47727203,34.46229553,,,,0.013176269,0.012866472,0.014967834,0.014474203,11.7854173,10.88555912,,,,0.043438762,,7.635352752
32,0.012417208,0.012532183,0.032220779,0.032387991,29.07437134,29.1360321,,,,0.012394288,0.013065311,0.015230728,0.015086717,12.94432848,12.8755995,,,,-0.212079427,,0.53095819
33,0.012367794,0.012151728,0.036363218,0.036435379,37.47869492,37.45732498,,,,0.01220129,0.012683033,0.015586505,0.015448786,15.01128647,15.0306701,,,,0.057018901,,-0.129127052
34,0.012038936,0.012212778,0.040823135,0.040878364,42.87216568,42.81394958,,,,0.012316805,0.012662362,0.01473057,0.014425819,11.72554184,10.97971934,,,,0.135789968,,6.360665568
35,0.012151443,0.012335098,0.039723682,0.039851994,38.37155914,38.52596283,,,,0.01232324,0.011875413,0.015779588,0.015573243,15.68948263,15.04894894,,,,-0.402390973,,4.082567267
36,0.012630219,0.012437996,0.033503442,0.033611292,30.02174187,30.02840424,,,,0.012412479,0.012029776,0.013625776,0.013330578,9.227894355,8.419243477,,,,-0.022191817,,8.763113732
